1,Alabama,AL,205|251|256|334|938
2,Alaska,AK,907
3,AmericanSamoa,AS,684
4,Arizona,AZ,480|520|602|623|928
5,Arkansas,AR,479|501|870
6,California,CA,209|213|310|323|408|415|424|442|510|530|559|562|619|626|628|650|657|661|669|707|714|747|760|805|818|831|858|909|916|925|949|951
7,Colorado,CO,303|719|720|970
8,Connecticut,CT,203|475|860|959
9,Delaware,DE,302
10,Florida,FL,239|305|321|352|386|407|561|727|754|772|786|813|850|863|904|941|954
11,Georgia,GA,229|404|470|478|678|706|762|770|912
12,Guam,GU,671
13,Hawaii,HI,808
14,Idaho,ID,208
15,Illinois,IL,217|224|309|312|331|618|630|708|773|779|815|847|872
16,Indiana,IN,219|260|317|463|574|765|812|930
17,Iowa,IA,319|515|563|641|712
18,Kansas,KS,316|620|785|913
19,Kentucky,KY,270|364|502|606|859
20,Louisiana,LA,225|318|337|504|985
21,Maine,ME,207
22,Maryland,MD,240|301|410|443|667
23,Massachusetts,MA,339|351|413|508|617|774|781|857|978
24,Michigan,MI,231|248|269|313|517|586|616|734|810|906|947|989
25,Minnesota,MN,218|320|507|612|651|763|952
26,Mississippi,MS,228|601|662|769
27,Missouri,MO,314|417|573|636|660|816
28,Montana,MT,406
29,Nebraska,NE,308|402|531
30,Nevada,NV,702|725|775
31,NewHampshire,NH,603
32,NewJersey,NJ,201|551|609|732|848|856|862|908|973
33,NewMexico,NM,505|575
34,NewYork,NY,212|315|332|347|516|518|585|607|631|646|680|716|718|845|914|917|929|934
35,NorthCarolina,NC,252|336|704|743|828|910|919|980|984
36,NorthDakota,ND,701
37,NorthernMarianaIslands,MP,670
38,Ohio,OH,216|220|234|330|380|419|440|513|567|614|740|937
39,Oklahoma,OK,405|539|580|918
40,Oregon,OR,458|503|541|971
41,Pennsylvania,PA,215|267|272|412|484|570|610|717|724|814|878
42,PuertoRico,PR,787|939
43,RhodeIsland,RI,401
44,SouthCarolina,SC,803|843|854|864
45,SouthDakota,SD,605
46,Tennessee,TN,423|615|629|731|865|901|931
47,Texas,TX,210|214|254|281|325|346|361|409|430|432|469|512|682|713|737|806|817|830|832|903|915|936|940|956|972|979
48,Utah,UT,385|435|801
49,Vermont,VT,802
50,Virginia,VA,276|434|540|571|703|757|804
51,Washington,WA,206|253|360|425|509
52,Washington,DC,DC
53,WestVirginia,WV,304|681
54,Wisconsin,WI,262|414|534|608|715|920
55,Wyoming,WY,307
